Date,Close,High,Low,Open,Volume,Target,Lag_1,Volatility
,NVDA,NVDA,NVDA,NVDA,NVDA,,,
2023-01-03,14.301480293273926,14.9818378561514,14.082687257156094,14.836974338861145,401277000,14.735069274902344,14.735069274902344,0.8991505989953055
2023-01-04,14.735069274902344,14.838971139139868,14.22754965642136,14.553241965260252,431324000,14.251526832580566,14.251526832580566,0.6114214827185087
2023-01-05,14.251526832580566,14.550244209091645,14.134636761581584,14.477313204439954,389168000,14.844966888427734,14.844966888427734,0.4156074475100606
2023-01-06,14.844966888427734,14.995824302039097,14.020746235509238,14.460330266141224,405044000,15.613241195678711,15.613241195678711,0.9750780665298588
2023-01-09,15.613241195678711,16.040836489954398,15.126700652910513,15.269566206043953,504231000,15.893975257873535,15.893975257873535,0.9141358370438848
2023-01-10,15.893975257873535,15.946924699347406,15.45738770492271,15.492354496985383,384101000,15.98588752746582,15.98588752746582,0.48953699442469656
2023-01-11,15.98588752746582,16.012862454530836,15.548301464922973,15.825040282936422,353285000,16.495405197143555,16.495405197143555,0.46456098960786285
2023-01-12,16.495405197143555,16.621285642542368,15.477367579612611,16.084794083982377,551409000,16.883041381835938,16.883041381835938,1.1439180629297567
2023-01-13,16.883041381835938,16.906020377978866,16.149735291057727,16.26262754145093,447287000,17.685283660888672,17.685283660888672,0.7562850869211388
2023-01-17,17.685283660888672,17.711260084721463,16.88304243708615,16.88304243708615,511102000,17.36058807373047,17.36058807373047,0.8282176476353129
2023-01-18,17.36058807373047,17.856117981324587,17.26567658254257,17.650313175213793,439624000,16.749168395996094,16.749168395996094,0.5904413987820156
2023-01-19,16.749168395996094,17.180761576267606,16.715202010993732,17.0199124023863,452932000,17.82215690612793,17.82215690612793,0.46555956527387465
2023-01-20,17.82215690612793,17.839141052703514,16.809114397916893,16.994937692162523,564967000,19.17487335205078,19.17487335205078,1.0300266547866208
2023-01-23,19.17487335205078,19.22682428472633,17.801172014631053,18.046938056185414,655163000,19.24680519104004,19.24680519104004,1.4256522700952772
2023-01-24,19.24680519104004,19.476589423278178,18.802225761623806,18.809219120213985,496204000,19.304750442504883,19.304750442504883,0.6743636616543718
2023-01-25,19.304750442504883,19.351706937761307,18.562452134690616,18.89513781742045,449537000,19.78329849243164,19.78329849243164,0.7892548030706905
2023-01-26,19.78329849243164,20.146955040954566,19.259793204752064,19.682394047297027,489535000,20.345767974853516,20.345767974853516,0.8871618362025018
2023-01-27,20.345767974853516,20.608520097219472,19.386675470641812,19.44362084967976,542142000,19.143901824951172,19.143901824951172,1.22184462657766
